"goal_list_1","goal_list_2","goal_list_3","goal_list_4","goal_list_5","MTurkCode"
"Take a walk every day.","Get more iron in my diet by eating at least a pound of spinach every week.","Teach myself how to finish quilts, not just quilt tops, so I can give my dad a quilt for his birthday in two months.","Practice French daily.","Make noticeable progress on a needlepoint project every week.",60791
"My goal is to exercise at least once per week.","","","","",67148
"My most important goal is to spead The Good News (God's Word) in order to bring people to Jesus Christ for salvation. To make this goal happen, I need to become a better example of a Christian; a better representative of Christ. ","","","","",94669
"I want to stop smoking in the next couple of weeks.","I want to lose weight over the course of the next year","I want to declutter my house within the next three months.","I want to start paying off my bills over the course of the next year","My goal is to start putting $50 a week into the savings account starting this Friday.",30736
"I have a goal of bench pressing 405 pounds.  I would like to continue progressing towards that goal.  My current maximum is 315 pounds.","I plan to apply to the United States Air Force.  I would like to study more for the entrance exam.","I want to finish the landscaping at my mother's house.  I would like to complete the fencing and plant more greenery.","I would like to read at least one book every month.","I would like to get back into the workforce.  I have been out of work for a year, due to the pandemic.  I am actively seeking a position.",35773
"My goal is not eat any bread for the next two months, in order to lose ten pounds","My goal is to perfect my charcoal soap formula before the end of April 2021","My goal is make $500 on Amazon Turk by the end of May 2021","","",97837
"My goal is to save money for my upcoming vacation","my goal is to find a new apartment","my goal is to get my son his dream car on his 18th birthday","my goal is to pay off my mortgage ","",91379
"My goal is to lose 20 lbs","My goal is to find a new job.","","","",44546
"Exercise at least 4 times a week.","Eat healthier meals.","Make at least $100 average weekly.","Work more in the garden.","Save at least $500 per month.",50800
"I am working to save at least 200 dollars a month.","My goal is to continue improving my physical fitness and activity level.","I am working toward earning additional graduate level credits to reach the next pay level at work.","","",45781
"My goal is to go for a run at least three times a week.","My goal is to lose weight over the next three months.","","","",27116
"My goal is to lose 10 pounds in the next 3 months","My goal is to make a vegetable garden for the first time in the next 3 months","My goal is to eat fish at least twice a week.","","",87849
"I want to pass the semester with good grades.","I want to gain some weight over the next few months, but preserve my abs.","I want to enjoy the upcoming summer as much as possible. ","","",71727
"My goal is to increase my credit score to 775 by July 1st.","My goal is to meet with my friends in person at least once a month for the rest of 2021.","My goal is to meet my desired weight of 126lbs by July 15.","My goal is to save $3,500 by July 1st, so I can move into my first apartment.","My goal is to pay off my loan of $1,982 by the end of the year.",52100
"My first goal is to get a promotion at work by the next promo cycle","My second goal is to save $20,000 dollars in the next three months","My final goal is to plan out where I am going to be living upon moving during the summer","","",99482
"Eat at least 5 servings of fruits/vegetables 6 days a week.","Walk at least 20 minutes a day, at least 5 times a week.","Provide a father figure to my grandsons who are 9 and 12 years old and are living with us. At least five days a week, provide tips to them to help them succeed in life.provide","Continue learning German on Duolingo. Earn at least 20 units every day,","Continue making money on Mechanical Turk. Goal is to earn $200 a month.",95134
"My goal is to get at least 7 hours of sleep every day","My goal is to exercise at least 3 times a week","My goal is to repair the damage to my car within the next 3 months","My goal is to repair and refinish the deck in the next 3 months","My goal is to take steps to destress my life",38462
"Pursuit of purchasing the home I'm renting currently.","Making more money on mturk weekly.","Work on my relationship with my lady.","","",63915
"To start my garden","To buy a new car","To stay healthy","","",93067
"Lose 15 pounds by Labor Day (9/6/2021)","Write 5000 words/week on blog or book each week in 2021","Save $400/month for the rest of 2021","","",86564
"My goal is to get back to lifting weights four days a week. ","My goal is to learn to be more patient with my two year every day.","My goal is to finish building my new deck in three months. ","","",68781
"My goal is to find a better paying job within approximately 3 months.","My goal is to reduce tobacco consumption to 10 cigarettes per day maximum within 3 months.","My goal is to be better to my body by excercising at least 3 times a week and being more consistent in improving my diet (by reducing saturated fat, processed foods, etc.) within 3 months.","My goal is to find a small block of time every day of at least 10 minutes for mindfulness, relaxation, and meditation, and to make it a daily routine within 3 months.","My goal is to complete an online course teaching Python within 3 months.",56248
"My goal is to exercise five days a week.","My goal is to limit snacking to two days a week.","","","",80182
"My goal is to start stretching everyday starting April 1st.","My goal is to find a new job within the next six months.","My goal is to pay off my car loan in three months.","My goal is to go hiking once a week during spring. ","My goal is to eat less bread and more vegetables every day. ",98715
"My goal is to save money and relocate to live with my long-distance girlfriend in 2 years.","My goal is to resolve major debts within 1 year.","My goal is save money and to fully retire within 3 years.","My goal is exercise for 50 mins/day, 6 days/week, ongoing.","My goal is to lose 25 lbs over the next 4 months, ongoing.",41061
"TO LOWER MY DIABETES A1c down to a 6  from a  7.","TO SAVE 100.00 A WEEK  TOWARD A SUMMER VACATION FOR FAMILY","","","",31649
"Reduce my high blood pressure so that I can be healthier and not experience any more physical symptoms.","Become proficient at conversational Italian.","Lose a decent amount of weight.","Help my tutee to be able to understand and become proficient in reading and math.","",89623
"My goal is to acquire my professional certification in three months.","My goal is to eat vegetables every day.","My goal is to work on home repairs and improvements every week.","My goal is to save at least $250 every month.","My goal is to learn morse code for my amateur radio hobby.",10551
"My goal is to work on my art/designs for at least 30 minutes, several times a week.","My goal is to consistently get to bed and wake up earlier every day.","My goal is to do some housecleaning for at least 30 minutes every one or two days.","","",94247
"I plan to workout at least once a week","I plan to lose 10 pounds in three months","I plan to increase my stock portfolio by 15% in three months","","",53009
"I am working on completing an Affiliate Marketing Website/","I want to work toward earning at least $500 a month with Mturk.","I am working toward loosing 120 pounds in one year.","I want to work toward finding the cause and curing a balance disorder I have.","",97443
"I'm working on losing at least 20 pounds ","I'm going to work out at least 4-5 days a week. ","I'm plan to build my credit","I'm going to journal daily","I'm going to find a remote job",80704
"I plan to clear my discover student credit card debt","I want to be 135 pounds by the end of the year","I'm hoping to graduate from Undergrad in the fall of this year. ","I want to save $6000 to buy my first car by the end of the year","I will start filming for my art submission that's due by August",77616
"i am going to buy a new bed","i and going to buy a dresser","i am going to pay off my credit card","i am going to finish my painting","i am going to finish my nail set",27084
"My goal is to begin meditating for at least 15 minutes every day.","My goal is to intermittently fast to lose weight every other day.","My goal is to pay off my credit card debt by the end of the year.","","",35597
"I want to save $150 each month.","","","","",92931
"Bike around more often","Drink less alcohol","","","",11469
"My goal is to loose around 25lbs by the end of this year.","My goal is to start exercising twice a week for the next 6 months.","My goal is to save at least $2000 by December this year.","","",48293
"In 3 months I hope to lose enough weight to fit in my old clothing.","Every week I want to save money and grow my bank account.","Every day I was to exercise more.","In 1 month I want to improve my sleep hygiene.","I want to read 1 book per month.",85430
"I'd like to make progress towards paying off back child support","I'd like to make progress towards finding a new job not doing gig work","I'd like to make progress towards losing a little bit of weight so I can have a toned figure.","","",76253
"My goal is to reduce how much I gamble.","My goal is to be more diligent during my training for my new job over the next 5 days.","My goal is to plan two outings with friends for the next two months.","My goal is to exercise more consistently.","My goal is to be more active in helping my parents with their financial matters.",58008
"My goal is to lose 15 lbs of fat in 2 months.","Spend closer time with daughter to develop deeper relationship.","I want to landscape around house with rocks and retaining wall.","","",86807
"My goal is to go to bed by 11:15 PM every night and wake up by 6:30 AM every morning every weekday.","My goal is to go to get at least 1 hour of moderate to intense exercise every day.","My goal is to read at least three books in the next 3 months.","","",30222
"My goal is to lose 15 pounds in the next 3 months","My goal is to work out on the Max Trainer for 15 minutes at least 5 times a week. ","My goal is to complete the AKC Trick Dog Title in the next 3 months","My goal is to gain 5 lbs of muscle in the next 3 months","My goal is to not Turk at work more often than once a week. ",32709
"stop smoking","eat healthy","loose weight","dentist","fix car",10517
"Pay off our Storage Locker by the beginning of April.","Take my 2 dogs in to the vet for check-ups, shots and medication by May.","Start testing for additional home jobs in transcription by the end of June","Possibly get a 2nd job this summer working at the Water Park for 5 months starting in May, if not do active survey tasks and transcription for extra income by May-June.","Pay off additional medical bills and start putting money away for a small house for purchase within 18 months to 2 years.",32956
"My goal is to become a certified civil engineer","My goal is to achieve 20 pounds weightloss","My goal is to become the senior supervisor in my place of work","My goal is to save half of my income for 3 months","My goal is to exercise thrice a week",98095
"In the next three months I would like to lose 10 pounds.","My goal is to drink at least one 16oz bottle of water a day.","My goal is to pay off our back utility bills by June.","In the next three months, I would like to reduce my debt by $1,000.","",94931
"My goal is to get accepted into at least one pharmacy school.","My goal is to get an A on my anatomy midterm.","My goal is to exercise four times a week. ","","",37543
"My goal is to buy a car within 3 months.","My goal is to pay down as much credit card debt as I can within 3 months.","","","",41510
"stop smoking","be more patient","","","",26309
"Exercise (walk) 30 minutes per day 3 or 4 days a week.","Reconnect with people I've fallen out of touch with during COVID lockdowns - calll or text one friend and one family member each week.","Put $25/week into a savings subaccount for Christmas. ","Cut back on drinking soda/carbonated drinks.","",60186
"complete studies for Series 7 financial licensing ","lose 20 pounds after long quarantine ","work on long term plan to retire early","purge junk and reorganize garage","",63105
"My goal is to increase more time in doing my online jobs so as to increase my income. ","To finish our family project of establishing a home in the village.","To find time and advance in my master’s degree over the holiday and evening classes. ","To be committed to my family in time and attention. ","To eat health and to be health conscious. ",12330
"My goal is to cook meals at home at least five days a week.","My goal is to include fruit or vegetables with every lunch and dinner every day, including when eating out or getting takeout.","My goal is to go down one clothing size in two months.","My goal is to continue exercising at least four times a week.","",55353
"To stop wasting time, be more efficient, and work harder every day.","To be healthier by working out every day.","To learn Japanese at least most days a week.","","",39467
"Get promoted in my job","","","","",46873
"my goal is to lose 10 pounds","my goal is to workout for 8 hours a week","my goal is to eat less fatty foods","my goal is to get at least 8 hours of sleep a night","my goal is to drink 4 bottles of water each day",92099
"Pay off the mortgage by the end of the year","Work on project management course and pass the exam to obtain Project Management certificate by end of June","Start running 5 days a week as soon as weather permits","Start looking and applying for jobs, with a goal of changing jobs within the next six months","Start learning Chinese, and work on it three times a week, every week.",45941
"My goal is to reduce the amount of caffeine I consume every week.","My goal is to get at least 3 hours of exercise every week.","My goal is read a book once a month.","","",92765
"Pay off credit cards","learn spanish","begin exercise routine","","",32118
"To stop procrastinating and get re-inspired again, get motivated! When I plan on doing something I will do it right away and not wait to get moving. To work on this habit daily, it's mindset. I want to get my momentum going again, this is my first important goal. To flip this energy into something more positive and productive, because procrastinating is such a bad habit and just promotes laziness.","To eat spinach daily, eat more vegetables. Eat healthier and cancel out sweets and junk.","To read more and write more, keep working on my novel. Acquire more wisdom along the way. Learn (something new) everyday.","To clean my place, get it completely organized, including my desk area. Rearrange and throw out things I don't need anymore. Beautify my home. Do extreme spring cleaning. I want to do some remodeling and give it a paint job.","To exercise more, get back on track with my fitness. I fell off my schedule during this pandemic. Up until a year ago I was really great with working out and exercising every day or every other day. I was committed. Time to do that again, and get moving!",56917
"My goal is to finish editing my second book, so that I can send it to the editor.","My goal is to lose 1 pound per week by walking more.","My goal is to finish organizing our storage area in the basement.","My goal is to teach my dog three new commands.","",62812
"My goal is to work out everyday and get into better shape and better health","My goal is to finally complete my bachelors degree in Criminal Justice.","","","",82650
"To earn at least $200 monthly in mturk online work and surpass previous amount earned by at least $1","To minimize desserts to just 1 per day such as: 1 cookie, 1 chocolate bar, 1 cupcake or 1 slice of cake per day.","To exercise at least 3 to 4 times a week ","","",43268
"I will use the treadmill at the fitness center for half an hour every day and increase my average speed to at least 3.5 MPH by May","I will introduce a dumbbell regimen to my evenings for at least a half hour every other day.","I will average at least $75 per week on the Amazon Mechanical Turk platform in order to cover my car payment.","I will work on getting myself into a better daily sleep schedule, including weekends and days I don't work.","I will continue to not consume alcohol for the remainder of the year.",33322
"Walk six blocks in next three months increasing distance everyday. . I just had a triple by-pass surgery and can not walk more than 35 feet at this time.","Plant a garden and have fresh vegitables to eat in three months.","Setup and stock freshwater aquarium in living room with live plants and fish within tree months.","I intend to lose weight during the next three months. I currently weigh 291#.","",24350
"My goal is to lift weights for sixty minutes five days a week.","My goal is to track my food and macro nutrients each day of the week.","","","",46136
"My goal is to start exercising at least three times a week.","My goal is to actively meditate every other day.","My goal is to save 30 dollars every week into my savings account.","My goal is to work at being self sufficient each day and strengthen my mind through internal reflection and journal writing.","",69629
"I want to read for pleasure at leat 15 minutes 3 days a week.","I want to regain my strength after having surgery and be able to walk a mile by the end of the summer","Try to do at least one educational activity with my toddler daughter 5 days a week. ","Stop spending so much money impulsively so I can save more money.","Spend more quality time with my husband thatt doesn't involve discussing our children.",26480
"I want to lose weight and feel more fit.","I want to improve my credit score.","I want to save more money for retirement.","I want to focus more on my job and be more organized to accomplish more.","",38119
"My goal is to build out my garage attic for storage in two months.","My goal is to run a 5k in under 23 minutes in three months.","My goal is to build a new computer desk in three months.","My goal is to deliver my software project completed in two weeks.","",89090
